"user","waktu","komentar","Sentimen"
"Ridwan Ar","setahun lalu","mantap","Netral"
"Uzzy Gepenk","4 tahun lalu","Senang bersama teman disana","Netral"
"Yayan Siregar","setahun lalu","Kereenn","Netral"
"Murdi","2 tahun lalu","Akses yang sangat mudah","Netral"
"Maz Nazir","setahun lalu","Ditambah  pelestariannya","Netral"
"rafa Rafael","2 tahun lalu","Tempat yg kumuh","Netral"
"Dimas Ankbonek","7 tahun lalu","Kelihatannya sih bagus.","Positif"
"Sudari Saifuddin","7 bulan lalu","Indah dan asri","Positif"
"Arief Suherman","2 tahun lalu","Menyenangkan","Netral"
"Dina Yunita","3 tahun lalu","Lumayan meski sempit","Netral"
"Zay Nuddin","4 tahun lalu","Okey tapi kurang perawatan","Netral"
"ArTa Channel","7 tahun lalu","Tempatnya sedikit kotor","Negatif"
"Iskandar muda","3 tahun lalu","Tempatnya bagus","Positif"
"Suherman Suherman","4 tahun lalu","bagus sekali","Positif"
"Alfred Ramses","4 tahun lalu","Lumayan bagus..","Positif"
"Daniel Christianto","5 tahun lalu","Kurang terawat","Netral"
"M. Fauzi","2 tahun lalu","Lumayan lah","Netral"
"Davidson Davidson","setahun lalu","Unik dan cantik","Positif"
"Muqorrobin project","4 tahun lalu","Tak suka","Netral"
"Yarra","3 tahun lalu","Mantapsss","Netral"
"Mulyo Manggih Widodo","4 tahun lalu","Kurang pengembangannya...","Netral"
"Nyimas Khanza Saskhi Nabila","4 tahun lalu","gada apa apa sih, kurang seru","Netral"
"BANG RACHMAN FISHING","2 tahun lalu","Pemandangan yang ciamik","Netral"
"Daikong Shitami","4 tahun lalu","Jauh sekali","Netral"
"Rizky Nur Masjidi","2 tahun lalu","Lumayan oke","Netral"
"Orang Awam","2 tahun lalu","Saya kos disini","Netral"
"Hasuke BinZubair","3 tahun lalu","bagus dan dan minim biaya","Positif"
"Arjuna Rentcar","4 tahun lalu","Air terjun yang indah","Positif"
"Mamat Toroan","4 tahun lalu","Temapat enak dan aman","Netral"
"O-Gear","5 tahun lalu","Tempatnya bagus","Positif"
"Abd Gani","3 tahun lalu","Aq suka","Netral"
"arnanto nugroho","5 tahun lalu","Lumayan bagus","Positif"
"hady riendy","setahun lalu","Bagus","Positif"
"Ferry Irawan","4 tahun lalu","Sangat bagus","Positif"
"RIZQI AFSOH","setahun lalu","Unik dan Seru..","Netral"
"Mufid Official","3 tahun lalu","Tempatku Menimbah ilmu","Netral"
"GSA Bangkalan","4 tahun lalu","Buat refresh sejenak","Netral"
"Faisoll Akbar","5 tahun lalu","Air yg indah","Positif"
"Andrie Hermawan Putro","setahun lalu","Bagus","Positif"
"Apin Poy","3 tahun lalu","Pokoknya sangat puas","Netral"
"niken lanovi","4 tahun lalu","Keren pokoknya ma","Positif"
"SAMSUL ARIFIN","setahun lalu","Bagus","Positif"
"wb 5758","setahun lalu","Mantap","Netral"
"Moh. Safirul Anam","setahun lalu","Indah","Positif"
"Suu Rach","7 tahun lalu","Desa kecil penuh certa","Netral"
"fahrudi ifai","4 tahun lalu","Cukup bagusss","Positif"
"Zeen Dobrak","3 tahun lalu","Suasana yang bagus","Positif"
"abdul aziz","setahun lalu","Madura","Netral"
"nasyaeif putra","setahun lalu","Bagus","Positif"
"Bojes Farm","4 tahun lalu","Lumayan indah..","Positif"
"DewantaraID","4 tahun lalu","Sampahnya mengganggu","Negatif"
"Jerry Anggoro","3 tahun lalu","Banyak sampah","Negatif"
"STORIES_REAL POPULERS","2 tahun lalu","Bagus","Positif"
"Mila Milano","4 tahun lalu","Sangat Bagus","Positif"
"hari subarno","5 tahun lalu","Air terjun Toroan ketapang","Netral"
"Retha Wiyono","4 tahun lalu","Jelek dan kotor","Negatif"
"I Sanusi","2 tahun lalu","Terbayar","Netral"
"Jakfar Sodiq","4 tahun lalu","Puas, mantap","Netral"
"Gundul Pacul","2 tahun lalu","Keren","Positif"
"Lina Charel","5 tahun lalu","Biasa aja...","Netral"
"Luluk Mukarromah","5 tahun lalu","Sangat indah dan bangus","Positif"
"bari indro pratomo","5 tahun lalu","Tenang ...","Netral"
"eny subroto","2 tahun lalu","Indah banget","Positif"
"Jabirut Tamam","5 tahun lalu","Tempat gitu tok","Netral"
"Syaki Farhan","4 tahun lalu","Lumayan Indah","Positif"
"As'ad Yahya Syafi'i","5 tahun lalu","Indah sekali","Positif"
"Satunya Satunya","4 tahun lalu","Bagus bingit","Positif"
"Mohammad Irfan","4 tahun lalu","Strategis dan indah","Positif"
"Mas Deto","4 tahun lalu","Keren abiss cuyyy","Positif"
"kun setiyono","2 tahun lalu","Bagus","Positif"
"Tieni Tahayoung","3 tahun lalu","Okey","Netral"
"Kaconk MD","4 tahun lalu","Alhamdulillah","Netral"
"MAZ RIZAL# HONG PEHONG","2 tahun lalu","Bgs","Netral"
"Joni virnanto","2 tahun lalu","Indah","Positif"
"Suhartono Bee","2 tahun lalu","Pemandangan yang indah","Positif"
"segianto 39","5 tahun lalu","Favorit para wanita..😅😅😅 …","Netral"
"Green Bohlam","2 tahun lalu","Bagus","Positif"
"Hidayatullah Syah, LGED HNI-HPAI","3 tahun lalu","Mantul","Netral"
"Sinap Sinap","4 tahun lalu","Kurang indah","Positif"
"Oonk Louis","2 tahun lalu","Bagus","Positif"
"Ari Basuki","3 tahun lalu","Keren","Positif"
"Chuwez15","3 tahun lalu","Masok","Netral"
"Mr Capung Canel","3 tahun lalu","Mantap","Netral"
"Heris","3 tahun lalu","Cakep","Netral"
"Danang Budiman","2 tahun lalu","Segar","Netral"
"Riki Afriyanto","2 tahun lalu","Butek","Netral"
"Apdete info Seluruh indonesia","3 tahun lalu","Bagus","Positif"
"Anggita Ayu","5 tahun lalu","Mengecewakan","Netral"
"Makbul Faqot","4 tahun lalu","Sangat indah","Positif"
"Muhammad Afandi","5 tahun lalu","Sangat indah","Positif"
"andrie rusdiansyah","3 tahun lalu","Bagus","Positif"
"dian Kurniasih","5 tahun lalu","Keren,, instagramable..","Positif"
"maryadi jantan","3 tahun lalu","Bagus","Positif"
"Zeynutdin","3 tahun lalu","Bagus","Positif"
"R. Nurcahya Dwi Asmoro","2 tahun lalu","Sip","Netral"
"Robbi Indra Wiguna","4 tahun lalu","Murah","Positif"
"Fausi Amiin","4 tahun lalu","Mantab","Netral"
"Sampoerna Mild","4 tahun lalu","Keren","Positif"
"Rahmat Hidayat","4 tahun lalu","Indah","Positif"
"Victor Honesto","4 tahun lalu","Bagus","Positif"
"Andre Susanto","4 tahun lalu","Lumayan","Netral"
"Rud aulf","5 tahun lalu","Apik","Netral"
"Hamdan Yuwafi","4 tahun lalu","Sejuk","Netral"
"Zainul Arifin","4 tahun lalu","Bagus","Positif"
"al sya","2 tahun lalu","Sering berkunjung","Netral"
"Amirul seneng","5 tahun lalu","Waw","Netral"
"Muhammad Prasetyo","5 tahun lalu","Keren tempatnya","Positif"
"Abd Hanan","4 tahun lalu","Biasa","Netral"
"Madura Update","2 tahun lalu","Tempat yang indah","Positif"
"Juarieko Arganta","5 tahun lalu","Keren","Positif"
"muhyidin firda","4 tahun lalu","Indah","Positif"
"Nadhila Yusrina","5 tahun lalu","Mantap","Netral"
"Dark Yagami","5 tahun lalu","Tenang","Netral"
"Ariful Azis","5 tahun lalu","Bagus","Positif"
"kang sukir","5 tahun lalu","Indah","Positif"
"agus pendekar","5 tahun lalu","Bagus","Positif"
"Mely Elkholidi","5 tahun lalu","Bagus","Positif"
"Story Bola","5 tahun lalu","Eksotik","Netral"
"Yu ni","7 tahun lalu","Dekat rumah","Netral"
"Omega Lesta","5 tahun lalu","Indah","Positif"
"Fridinal Deleshef","5 tahun lalu","Jelek","Negatif"
"Nasir 57","5 tahun lalu","Sejuk","Netral"
"sarika arinta","5 tahun lalu","indah","Positif"
"Mohammad Nurul Hidayat","5 tahun lalu","Alami","Netral"
"Lala CAH AYU MODES AND TAILOR","7 tahun lalu","Asyik","Netral"
"Zurach Bhajink Sakti","5 tahun lalu","Karena bagus","Positif"
"Azraa Vaey","2 tahun lalu","Strategis dan cantik","Positif"
"hanif jidda","setahun lalu","Menyenangkan","Netral"
"Uyunks Regas","4 tahun lalu","Seru banget","Netral"
"Mazukon Siwickedts","3 tahun lalu","Oky","Netral"
"Purnomo Dwi Candra","5 tahun lalu","Top banget","Netral"
"Arif Budiman","3 tahun lalu","Pasti transfer","Netral"
"Samm Samm","5 tahun lalu","Sip","Netral"
"Pote Tolang Mdr","5 tahun lalu","Sip","Netral"
"Atik Rosita","4 tahun lalu","Mayan","Netral"
"Erdiant Rendy","5 tahun lalu","Madura keren","Positif"
"hasbi umam","setahun lalu","Mengesahkan","Netral"
"Erika Amelia","5 tahun lalu","layak dikunjungi","Netral"
"Feriiskandar80 Traveller (asenxdayax)","7 tahun lalu","pesona Indonesia...amazing","Netral"
"Dhay Hidayat","5 tahun lalu","Buaguss Buangett... 😀 …","Netral"
"mbaksyaa","3 tahun lalu","Recomended 😍😍 …","Netral"
"agus ardiana","4 tahun lalu","Nyaris sempurna","Netral"
"Prametha Armunanto","5 tahun lalu","View mantab","Netral"
"afandi jayanto","7 tahun lalu","Kepingin kesana","Netral"
"Sudarmanto Darmadji","4 tahun lalu","wisata alam","Netral"
"machalul ardianto","1 hari lalu","Air terjun yang bagus. Tiket masuk murah sekitar 5 ribu per orang. Air terjunnya jernih, dan langsung berseberangan dengan laut.","Positif"
"Krishna Astu","4 minggu lalu","Air terjun Toroan adalah permata tak terduga yang membuat saya kagum. Saya tidak pernah menyangka akan menemukan tempat menakjubkan seperti ini di wilayah ini, dan rasanya seperti harta karun yang terpendam. Pemandangan air terjun tepat di …","Netral"
"Bellanie","4 bulan lalu","Harga masuk Rp5.000 per orang dan jika membawa kendaraan untuk parkir dikenakan biaya Rp5.000. Yah airnya kurang jernih tapi untuk view lumayan bagus","Positif"
"Kristina Dameria","setahun lalu","pemandangan air terjun yang bagus dan area berada di jalan utama sehingga aksesnya sangat mudah.
tiket masuk gratis tapi untuk parkir mobil harus membayar 10.000 rupiah per …","Positif"
"alam cahya","5 tahun lalu","Air terjun mini terbaik! Meski butuh 3 hingga 4 jam untuk sampai ke sana dari surabaya. Tapi it's worth it, ada pemandangan matahari terbenam yang bagus dan air segar dari air terjun, air terjun itu sendiri jatuh ke laut dan memiliki pemandangan air yang jernih. Bagus!","Positif"
"Johan HP","5 tahun lalu","Tempat yang damai dan indah! Waktu terbaik ke sini adalah saat matahari terbenam (sayangnya, saya tidak bisa melihat matahari terbenam di sana karena saya pergi ke sana saat musim hujan). Tapi berfoto di sini saat jam biru juga bagus. Saya …","Positif"
"Suria Nataadmadja","setahun lalu","Air terjun buatan manusia, itu adalah luapan yang dialihkan dari sungai terdekat ke laut. Meskipun cerdik. Perlu berjalan menuruni tangga 50 langkah. Ada area kecil di mana orang bisa menikmati ""air terjun""","Netral"
"Paramitha","4 tahun lalu","Air terjun yang sejuk di dekat pantai, tidak terlalu ramai. Orang tidak diperbolehkan mandi di air terjun. Batuannya cukup licin. Masuk gratis, hanya bayar parkir. Masih banyak hewan-hewan kecil di pantai seperti kelomang dan ikan-ikan …","Netral"
"olivia a","3 tahun lalu","Beberapa tahun yang lalu ketika saya pertama kali mengunjungi tempat ini, itu bagus, semuanya dibuat oleh alam, tetapi hari ini saya melihat peningkatan besar yang menjadikannya lebih baik. Bahkan ada sebuah kafe! Selamat, Sampang!","Positif"
"Gavin Mark Starkey","setahun lalu","Datang ke sini beberapa kali selama 5 tahun terakhir. Terlihat jauh lebih berkembang dan bersih. Makanannya enak dan tempat parkirnya cukup aman. Pelayanan di restoran tidak ramah pada kunjungan terakhir saya.","Netral"
"Christian Wijayanto","5 tahun lalu","air terjun kecil, namun aksesnya mudah, dekat jalan umum. panorama saat matahari terbenam sangat indah. anda bisa turun ke bawah air terjun untuk mengambil beberapa gambar, namun hati-hati karena disekitar sana banyak terdapat bebatuan. …","Positif"
"Mohammad Ferianto","5 tahun lalu","Air Terjun Toroan merupakan salah satu destinasi wisata di Sampang. Letaknya dekat dengan pasar tradisional Ketapang. Air terjun ini dekat dengan pantai sehingga airnya akan mengalir ke laut. Tempat ini tidak disarankan untuk anak-anak karena tidak cukup area bermain dan dilarang berenang di sini.","Netral"
"dian ekawati suryaman","5 tahun lalu","Air terjun unik. Airnya langsung jatuh ke laut/pantai. Inilah air terjun terbesar di Madura. Kita harus sangat berhati-hati saat berjalan di sekitar pantai dekat air terjun. Jangan pernah berenang di bawah air terjun.","Netral"
"Mike Spekreijse","3 bulan lalu","Lokasi yang indah namun jika Anda pergi ke hulu polusi menghilangkan keindahan air terjun.","Positif"
"Siva Arrafa","3 bulan lalu","Tempat yang damai dan indah! Waktu terbaik untuk pergi ke sini adalah matahari terbenam (yang sayangnya,","Positif"
"Arista Bayu","7 tahun lalu","Walaupun jarak dari Surabaya ke sini sangat jauh, sekitar 100 kilometer, tapi percayalah itu sepadan! Air terjunnya jatuh langsung ke laut, unik sekali. Namun ingat, Anda tidak bisa berenang di sana karena di bawah air terjun terdapat lubang.","Netral"
"Achonk Zaien","4 bulan lalu","Tempat yang bagus dan indah","Positif"
"Kintaka Purnama","3 bulan lalu","Masya Allah, ciptaan Tuhan itu indah, sayang sekali jika tidak dinikmati","Positif"
"cantika nizam aluminium","setahun lalu","Sayang gak kerja 😂😂😂😀 …","Netral"
"Fanan Agsoni","3 minggu lalu","Sangat sangat keren","Positif"
"Arief Hartanto","2 tahun lalu","Air terjun di pinggir pantai....luar biasa bukan 😁 …","Netral"
"Ranidya","4 bulan lalu","tempat yang indah ... direkomendasikan untuk waktu keluarga","Positif"
"James Farley","4 tahun lalu","Kecil tapi cantik. Orang-orang sangat baik!","Positif"
"楊仁彬","5 tahun lalu","Sungai mengalir ke laut membentuk air terjun, airnya tidak terlalu bersih, dan biaya parkir 10.000","Netral"
"Phoebe Yulia","setahun lalu","Air terjun yang bagus dan menarik langsung menuju ke laut. Permasalahannya adalah banyaknya sampah di laut dan bebatuan di sekitar air terjun/pantai. Ebtry murah hanya 5 ribu. Jika Anda pergi ke sini, tolong jangan membuang sampah …","Positif"
"Rizky Analdo","7 tahun lalu","Cukup kunjungi madura dan sampai disini. Tempat yang cukup bagus. Tapi akses masuknya agak susah krn kita injak root..","Positif"
"XC_15_Frea Renata","setahun lalu","sangat mengecewakan, semuanya tidak diperlakukan dengan baik. Banyak sampah di mana-mana di lantai, airnya berwarna coklat dan kotor. saya tidak mengerti mengapa peringkatnya 4 tho 😐. sangat berbeda dengan gambar di google, di mana airnya …","Negatif"
"Siva Prasad","8 bulan lalu","Tempat terbaik untuk dikunjungi, saya suka lokasi ini","Netral"
"Cherry Blossom","4 bulan lalu","Tampilan Terbaik 💙 …","Netral"
"MTegar RSaputra","5 tahun lalu","tempat yang bagus untuk beristirahat ketika Anda sedang dalam perjalanan panjang","Positif"
"Edo Suhartanto","7 tahun lalu","Uniknya...airnya langsung jatuh ke laut
Tapi ini adalah sungai yang digunakan oleh penduduk setempat, jadi baunya yang menyengat sangat terasa …","Netral"
"Kita Pritasari Arumdati","5 tahun lalu","Akses mudah, area cukup bersih, air jernih, air terjun tepat di pinggir pantai. Tempat yang bagus untuk foto-foto dan bersantai di tepi pantai dengan air terjun yang mengalir di belakang. Gratis, hanya biaya parkir. Tersedia toilet, kamar mandi, dan Mushola dengan peralatan sholat di dalamnya (Alquran, mukena, sarung, dll)","Positif"
"Ken Guest","4 tahun lalu","Itu adalah air terjun yang jatuh ke laut. Tidak banyak lagi yang bisa dilihat dan tidak terlalu indah, tapi cukup menarik untuk dikunjungi. Warung kecil di atas oke, dengan makanan enak. Tersedia toilet.","Positif"
"Richard K","7 tahun lalu","Uniknya, air terjun ini langsung dialirkan ke laut (pantai).
Tingginya sekitar 9 meter.
Akses mudah dengan banyak pengunjung selama liburan ..","Netral"
"Dani Nuraztyo Wibowo","7 bulan lalu","Tiketnya sangat murah dan air terjunnya cukup menarik","Positif"
"Ani Arifah","5 tahun lalu","Perjalanan yang sangat jauh dari Bangkalan dengan permukaan yang tidak rata. Air sangat kotor / keruh dan tidak banyak ruang untuk mengambil foto! Tidak menyangka itu sebenarnya lebih buruk daripada foto di pencarian Google. Tidak akan merekomendasikan tempat ini untuk dikunjungi.","Negatif"
"Zainal Ritonga","setahun lalu","Mereuen","Netral"
"denny vincentius","7 tahun lalu","lokasi bagus tempat segar tapi terpanas","Positif"
"Barry Russell","4 tahun lalu","Tidak apa-apa. Itu air yang jatuh ke laut, jadi keren! Akan lebih baik jika dijadikan tempat berenang dibandingkan sekedar tempat selfie. Namun untuk area ini boleh saja berhenti dan memeriksa selama 30 menit","Positif"
"Faisal Al Shehri","5 tahun lalu","Sebagai pemandangan yang sangat indah dianggap air terjun dari tanah yang turun ke laut, masalahnya air air terjun itu mengalirkan kotoran ke dalamnya, karena sangat tercemar, kebersihannya harus dijaga. tidak ada rumah peristirahatan atau kafe di dekatnya.","Positif"
"Deni Priyo","7 tahun lalu","Bagus sekali.. hanya sayang jalan menuju air terjun rusak parah.. mohon diperbaiki..","Positif"
"Wikan Karis Basutama","7 tahun lalu","Air terjun yang bagus dengan pemandangan laut. Direkomendasikan untuk mampir jika sedang berada di Madura. Dekat dengan jalan utama. Area parkir yang luas.","Positif"
"gede wijaya","setahun lalu","Tempat yang bagus untuk fotografer lanskap 👍👍👍 …","Positif"
"Baihaqi Bintang","5 tahun lalu","Salah satu spot foto terbaik di madura","Netral"
"Adam Victor Handoyo","5 tahun lalu","Tempat luar biasa untuk pecinta lanskap","Netral"
"Rakina Rahman","4 tahun lalu","Air terjun yang indah.","Positif"
"Wijaya Oei","3 minggu lalu","Air terjun yang menakjubkan","Netral"
"قناة:أبوعبدالله محمد بن عوض بن غالب الحيدري","3 tahun lalu","Tampilan yang menarik dan gambar yang indah seolah-olah menggambar dari imajinasi
Tapi itu butuh perawatan, pembersihan, dan penataan
Untuk melengkapi pariwisata","Positif"
"Buhari Stisindo","5 tahun lalu","Pemandangan yang bagus.. Luar biasa","Positif"
"oscar samosir","3 tahun lalu","Air terjun kecil dan pemandangan laut.","Netral"
"zaini Art","4 tahun lalu","Cantiknya.","Positif"
"Selvie Liao","3 tahun lalu","Bagus...","Positif"
"Novel firdhaus","5 tahun lalu","Benar-benar tidak seperti yang saya harapkan, air terjunnya sangat kecil dan kami tidak bisa berenang juga tidak terlalu direkomendasikan.","Netral"
"Rose Diana Sari","5 tahun lalu","Air terjun mini di utara Pulau Madura..","Netral"
"Paul Widjanarko","7 tahun lalu","Tempat yang bagus untuk mengunjungi dan mengambil foto air terjun yang indah saat matahari terbenam","Positif"
"Mardi Setiawan","2 tahun lalu","Sungai jatuh ke laut","Netral"
"Cing Cing","3 tahun lalu","Tempat yang luar biasa untuk menembak","Netral"
"Dyan Fatah","2 tahun lalu","Pemandangan bagus, masih alami. Perlu lebih banyak mengelola untuk membuat yang terbaik","Positif"
"Poeng","4 tahun lalu","Air yang indah jatuh di pantai","Positif"
"M. Anwarsyam Mohamad","5 tahun lalu","tempat yang bagus","Positif"
"Natsuri Afroh","5 tahun lalu","Bagu jgk ya payment danga pun bagus","Positif"
"Azura Azura","3 tahun lalu","Bagus","Positif"
"faried alvino","5 tahun lalu","Air yerjun toroan sampang","Netral"
"Roudhotul Ilmiyah","7 tahun lalu","Airnya tidak sejernih di foto","Netral"
"Rendy Lewerissa","4 tahun lalu","Memiliki pemandangan yang bagus untuk menghilangkan stres, terutama saat matahari terbenam","Positif"
"Cristian Moreno","5 tahun lalu","Tidak apa-apa untuk perhentian yang menyenangkan dan bahkan untuk hidangan lezat!","Netral"
"Novian3 DK","5 tahun lalu","Ada tempat yang bagus untuk perjalanan Anda di pulau","Positif"
"Sigit Purnomo","4 tahun lalu","Pemandangan indah...","Positif"
"Steven Ray W","5 tahun lalu","Sunyi, lingkungannya benar-benar tenang, asri, dan udaranya segar.","Netral"
"joni pri","setahun lalu","Tempat ini indah dan nyaman","Positif"
"fnu asnawi","3 tahun lalu","sampah dimana-mana.. huhu.. kecewa😭 …","Negatif"
"Akmal Rizal","4 tahun lalu","Tempat yang bagus untuk dikunjungi.. Sangat direkomendasikan.","Positif"
"Herlina Halim","5 tahun lalu","Perlu lebih banyak fasilitas untuk mengambil gambar yang bagus","Positif"
"Afrinaldi Zulhen","3 tahun lalu","Salah satu air terjun laut terbaik di dunia","Netral"
"Reza Syahputra","4 tahun lalu","Tempat yang cukup bagus, tetapi perlu lebih banyak perbaikan.","Positif"
"Graeme Ts","5 tahun lalu","Air terjun air tawar yang bagus ke Laut Jawa.","Positif"
"Bayu K","5 tahun lalu","Tempat yang bagus untuk berburu foto dengan inspirasi liar","Positif"
"Salahuddin Muhammad Iqbal","7 tahun lalu","Tempat sempurna untuk memotret tema surealis apa pun.","Netral"
"ibnu widagdo","5 tahun lalu","Bagus","Positif"
"Rohid_akram","2 tahun lalu","Kor periksa settong dereh","Netral"
"Retno Tri Lestari","5 tahun lalu","Air terjun yang bagus","Positif"
"Nurul Hudi","5 tahun lalu","Air terjun yang indah","Positif"
"Soffian Joyopranoto","2 tahun lalu","Pemandangan bagus saat Matahari berada di Utara","Positif"
"Anas Jhaya","4 tahun lalu","Wow","Netral"
"Yudi Priyono","5 tahun lalu","Cantik","Positif"
"Irul Bolitz","3 tahun lalu","Jjs","Netral"
"Moh Bahri","4 tahun lalu","Pantai penuh yang indah dan menakjubkan","Positif"
"Ria Puspitasari","5 tahun lalu","Saya menyarankan Anda untuk mengunjungi tempat ini jika Anda berada di madura","Netral"
"Bayari Sentono Putro","3 tahun lalu","Pemandangan luar biasa, menghadap laut","Netral"
"Hendra Gunawan","5 tahun lalu","Tidak banyak yang bisa dilakukan, hanya mengambil beberapa foto","Netral"
"khoiril hidayat","2 tahun lalu","Perlu ditingkatkan lagi","Netral"
"Fithra Asriyani","setahun lalu","Besar","Netral"
"Ming Bee","4 tahun lalu","tempat yang sejuk dan indah untuk dikunjungi","Positif"
"Gandi Tan","4 tahun lalu","Tempat yang Direkomendasikan","Netral"
"Antonius Masashi","5 tahun lalu","Juga ups","Netral"
"Mofir","11 bulan lalu","Oke","Netral"
"Hasani an nawawi","4 tahun lalu","Bagus dan sangat bagus😊😊😊 …","Positif"
"Maskur Unlimited","setahun lalu","Murni","Netral"
"Zaein Fairuzz","7 tahun lalu","Bagus. Suasana sejuk. Keren gayzzz","Positif"
"entop topan","setahun lalu","pemandangan yang bagus","Positif"
"Abdullah Aziz","setahun lalu","Cantik & keren","Positif"
"Arifin LhorEezz","7 tahun lalu","Benxk brrit ini","Netral"
"El Maulidy El Madury","5 tahun lalu","Yang terbaik","Netral"
"Imatus Solicha","4 tahun lalu","Airnya sangat segar","Netral"
"moh huzaini","setahun lalu","Atas","Netral"
"happy channel","5 tahun lalu","Tempatnya cukup menyeramkan","Netral"
"Ali mahrus","8 bulan lalu","menyesap","Netral"
"Rossie Vanzer","5 tahun lalu","Itu tidak luar biasa kau tahu","Netral"
"My news 24","setahun lalu","Bagus","Positif"
"Soqui Suqeje","4 tahun lalu","Tempat yang sangat indah.","Positif"
